Date,Close
2022-01-03,6573.09375
2022-01-04,6640.3955078125
2022-01-05,6685.2626953125
2022-01-06,6707.69677734375
2022-01-07,6864.732421875
2022-01-10,6819.86474609375
2022-01-11,6909.6005859375
2022-01-12,6909.6005859375
2022-01-13,6909.6005859375
2022-01-14,7044.203125
2022-01-17,6954.46826171875
2022-01-18,6887.1669921875
2022-01-19,6887.1669921875
2022-01-20,6976.90087890625
2022-01-21,7133.93798828125
2022-01-24,6999.3349609375
2022-01-25,6976.90087890625
2022-01-26,6909.6005859375
2022-01-27,6999.3349609375
2022-01-28,6976.90087890625
2022-01-31,6842.298828125
2022-02-02,6999.3349609375
2022-02-03,6932.0341796875
2022-02-04,6932.0341796875
2022-02-07,6999.3349609375
2022-02-08,6932.0341796875
2022-02-09,7133.93798828125
2022-02-10,6954.46826171875
2022-02-11,7021.7685546875
2022-02-14,6909.6005859375
2022-02-15,7066.63623046875
2022-02-16,7156.37158203125
2022-02-17,7089.0712890625
2022-02-18,7111.50390625
2022-02-21,7133.93798828125
2022-02-22,7089.0712890625
2022-02-23,7223.67333984375
2022-02-24,7178.8056640625
2022-02-25,7223.67333984375
2022-03-01,7223.67333984375
2022-03-02,7156.37158203125
2022-03-04,7089.0712890625
2022-03-07,6909.6005859375
2022-03-08,6864.732421875
2022-03-09,7044.203125
2022-03-10,7111.50390625
2022-03-11,7133.93798828125
2022-03-14,7246.107421875
2022-03-15,7313.40771484375
2022-03-16,7358.27587890625
2022-03-17,7178.8056640625
2022-03-18,7089.0712890625
2022-03-21,7089.0712890625
2022-03-22,7111.50390625
2022-03-23,7089.0712890625
2022-03-24,7111.50390625
2022-03-25,7133.93798828125
2022-03-28,7197.7158203125
2022-03-29,7152.16015625
2022-03-30,7174.9375
2022-03-31,7266.0478515625
2022-04-01,7220.49267578125
2022-04-04,7197.7158203125
2022-04-05,7197.7158203125
2022-04-06,7061.0498046875
2022-04-07,7061.0498046875
2022-04-08,7152.16015625
2022-04-11,7038.27197265625
2022-04-12,7106.60498046875
2022-04-13,7106.60498046875
2022-04-14,7015.49462890625
2022-04-18,7015.49462890625
2022-04-19,6947.16162109375
2022-04-20,6969.93896484375
2022-04-21,7220.49267578125
2022-04-22,7174.9375
2022-04-25,7288.82568359375
2022-04-26,7402.71337890625
2022-04-27,7471.04638671875
2022-04-28,7402.71337890625
2022-05-09,6924.38427734375
2022-05-10,6856.0517578125
2022-05-11,6969.93896484375
2022-05-12,6628.275390625
2022-05-13,6673.8310546875
2022-05-17,6742.16357421875
2022-05-18,6901.60595703125
2022-05-19,6787.71923828125
2022-05-20,6742.16357421875
2022-05-23,6719.38623046875
2022-05-24,6696.60888671875
2022-05-25,6719.38623046875
2022-05-27,6901.60595703125
2022-05-30,6901.60595703125
2022-05-31,7061.0498046875
2022-06-02,6901.60595703125
2022-06-03,6924.38427734375
2022-06-06,6787.71923828125
2022-06-07,6719.38623046875
2022-06-08,6924.38427734375
2022-06-09,6833.27392578125
2022-06-10,6696.60888671875
2022-06-13,6696.60888671875
2022-06-14,6742.16357421875
2022-06-15,6673.8310546875
2022-06-16,6901.60595703125
2022-06-17,6833.27392578125
2022-06-20,6947.16162109375
2022-06-21,6969.93896484375
2022-06-22,6833.27392578125
2022-06-23,6856.0517578125
2022-06-24,6810.49658203125
2022-06-27,6696.60888671875
2022-06-28,6651.0537109375
2022-06-29,6628.275390625
2022-06-30,6605.49853515625
2022-07-01,6605.49853515625
2022-07-04,6423.27734375
2022-07-05,6605.49853515625
2022-07-06,6651.0537109375
2022-07-07,6468.8330078125
2022-07-08,6514.388671875
2022-07-11,6491.60986328125
2022-07-12,6537.1650390625
2022-07-13,6377.72216796875
2022-07-14,6400.5
2022-07-15,6377.72216796875
2022-07-18,6514.388671875
2022-07-19,6537.1650390625
2022-07-20,6742.16357421875
2022-07-21,6742.16357421875
2022-07-22,6673.8310546875
2022-07-25,6651.0537109375
2022-07-26,6651.0537109375
2022-07-27,6673.8310546875
2022-07-28,6696.60888671875
2022-07-29,6696.60888671875
2022-08-01,6833.27392578125
2022-08-02,6924.38427734375
2022-08-03,6947.16162109375
2022-08-04,7106.60498046875
2022-08-05,7174.9375
2022-08-08,7174.9375
2022-08-09,7197.7158203125
2022-08-10,7197.7158203125
2022-08-11,7243.2705078125
2022-08-12,7220.49267578125
2022-08-15,7243.2705078125
2022-08-16,7266.0478515625
2022-08-18,7288.82568359375
2022-08-19,7197.7158203125
2022-08-22,7288.82568359375
2022-08-23,7197.7158203125
2022-08-24,7243.2705078125
2022-08-25,7357.15869140625
2022-08-26,7288.82568359375
2022-08-29,7425.49072265625
2022-08-30,7448.2685546875
2022-08-31,7471.04638671875
2022-09-01,7425.49072265625
2022-09-02,7493.82373046875
2022-09-05,7539.37890625
2022-09-06,7539.37890625
2022-09-07,7630.48876953125
2022-09-08,7607.71240234375
2022-09-09,7630.48876953125
2022-09-12,7630.48876953125
2022-09-13,7767.154296875
2022-09-14,7744.37744140625
2022-09-15,7972.15283203125
2022-09-16,7698.8212890625
2022-09-19,7881.04248046875
2022-09-20,7789.931640625
2022-09-21,7721.599609375
2022-09-22,7721.599609375
2022-09-23,7630.48876953125
2022-09-26,7676.04443359375
2022-09-27,7562.15673828125
2022-09-28,7584.9345703125
2022-09-29,7630.48876953125
2022-09-30,7789.931640625
2022-10-03,7744.37744140625
2022-10-04,7789.931640625
2022-10-05,7698.8212890625
2022-10-06,7676.04443359375
2022-10-07,7471.04638671875
2022-10-10,7562.15673828125
2022-10-11,7516.60205078125
2022-10-12,7584.9345703125
2022-10-13,7539.37890625
2022-10-14,7516.60205078125
2022-10-17,7516.60205078125
2022-10-18,7562.15673828125
2022-10-19,7539.37890625
2022-10-20,7744.37744140625
2022-10-21,7881.04248046875
2022-10-24,8108.8173828125
2022-10-25,7926.59814453125
